key,value
ui.settings.language,言語
ui.settings.difficulty,難易度
ui.settings.difficulty_easy,易しい
ui.settings.difficulty_normal,普通
ui.settings.difficulty_hard,難しい
ui.settings.difficulty_next_run_notice,次のランから適用されます
ui.settings.fullscreen,フルスクリーン
ui.settings.windowed,ウィンドウ
ui.settings.screen_mode,ウィンドウ/フルスクリーン
ui.settings.resolution,解像度
ui.settings.auto_detect,自動検出
ui.settings.loot_guide,アイテムガイド
ui.settings.title,設定
ui.settings.back,戻る
ui.settings.music,音楽
ui.settings.sfx,効果音
ui.settings.music_volume,音楽音量
ui.settings.sound_volume,効果音音量
ui.settings.return_main_menu,メインメニュー
ui.settings.quit,終了
ui.settings.lang_en,English
ui.settings.lang_zh,中国語
ui.settings.lang_zh_hans,簡体字中国語
ui.settings.lang_zh_hant,繁体字中国語
ui.settings.lang_ja,日本語
ui.settings.lang_ko,韓国語
ui.start.start_game,ゲーム開始
ui.start.settings,設定
ui.start.achievement,実績
ui.start.coin_upgrade,コインアップグレード
ui.achievement.completed,【達成済み】
ui.achievement.unlocked_title,<b>実績{0} 達成!</b>
ui.gameover.title,ゲームオーバー
ui.gamepass.title,ステージクリア
ui.result.difficulty_label,難易度：{0}
ui.result.enemy_strength_modifier,敵の強さ {0}
ui.result.reward_modifier,報酬 {0}
ui.result.difficulty_summary,{0} | {1} | {2}
achievement.3_minutes.name,3分間生き残る
achievement.3_minutes.desc,3分間生き残る\\n報酬：コイン1000枚
achievement.5_minutes.name,5分間生き残る
achievement.5_minutes.desc,5分間生き残る\\n報酬：コイン1000枚
achievement.10_minutes.name,10分間生き残る
achievement.10_minutes.desc,10分間生き残る\\n報酬：コイン1000枚
achievement.20_minutes.name,20分間生き残る
achievement.20_minutes.desc,20分間生き残る\\n報酬：コイン1000枚
achievement.lv30.name,レベル30
achievement.lv30.desc,初めてレベル30に到達\\n報酬：コイン1000枚
achievement.lv50.name,レベル50
achievement.lv50.desc,初めてレベル50に到達\\n報酬：コイン1000枚
achievement.first_time_paired_ball.name,合成バスケットボール
achievement.first_time_paired_ball.desc,初めて合成バスケットボールを解放\\n報酬：コイン1000枚
achievement.first_time_paired_bomb.name,合成爆弾
achievement.first_time_paired_bomb.desc,初めて合成爆弾を解放\\n報酬：コイン1000枚
achievement.first_time_paired_sword.name,合成剣
achievement.first_time_paired_sword.desc,初めて合成剣を解放\\n報酬：コイン1000枚
achievement.first_time_paired_knife.name,合成ナイフ
achievement.first_time_paired_knife.desc,初めて合成ナイフを解放\\n報酬：コイン1000枚
achievement.first_time_paired_circle.name,合成ガード剣
achievement.first_time_paired_circle.desc,初めて合成ガード剣を解放\\n報酬：コイン1000枚
achievement.all_ability_upgrade.name,全能力アップグレード
achievement.all_ability_upgrade.desc,全能力アップグレード完了\\n報酬：コイン1000枚
