key,value
ui.settings.language,语言
ui.settings.difficulty,难度
ui.settings.dda,自适应难度
ui.settings.difficulty_easy,简单
ui.settings.difficulty_normal,普通
ui.settings.difficulty_hard,高难
ui.settings.difficulty_next_run_notice,切换将在下一局生效
ui.settings.fullscreen,全屏
ui.settings.windowed,窗口化
ui.settings.screen_mode,窗口化/全屏
ui.settings.resolution,分辨率
ui.settings.auto_detect,自动检测
ui.settings.loot_guide,道具引导
ui.settings.title,设置
ui.settings.back,返回
ui.settings.music,音乐
ui.settings.sfx,音效
ui.settings.music_volume,音乐音量
ui.settings.sound_volume,音效音量
ui.settings.return_main_menu,主菜单
ui.settings.quit,退出
ui.settings.lang_en,English
ui.settings.lang_zh,中文
ui.settings.lang_zh_hans,简体中文
ui.settings.lang_zh_hant,繁體中文
ui.settings.lang_ja,日本語
ui.settings.lang_ko,한국어
ui.start.start_game,开始游戏
ui.start.settings,设置
ui.start.achievement,成就
ui.start.coin_upgrade,金币升级
ui.achievement.completed,【已完成】
ui.achievement.unlocked_title,<b>成就{0} 达成!</b>
ui.gameover.title,游戏结束
ui.gamepass.title,游戏通关
ui.result.difficulty_label,难度：{0}
ui.result.enemy_strength_modifier,敌人强度 {0}
ui.result.reward_modifier,收益 {0}
ui.result.difficulty_summary,{0} | {1} | {2}
achievement.3_minutes.name,坚持3分钟
achievement.3_minutes.desc,坚持3分钟\\n获得成就奖励1000金币
achievement.5_minutes.name,坚持5分钟
achievement.5_minutes.desc,坚持5分钟\\n获得成就奖励1000金币
achievement.10_minutes.name,坚持10分钟
achievement.10_minutes.desc,坚持10分钟\\n获得成就奖励1000金币
achievement.20_minutes.name,坚持20分钟
achievement.20_minutes.desc,坚持20分钟\\n获得成就奖励1000金币
achievement.lv30.name,30级
achievement.lv30.desc,第一次升级到30级\\n获得成就奖励1000金币
achievement.lv50.name,50级
achievement.lv50.desc,第一次升级到50级\\n获得成就奖励1000金币
achievement.first_time_paired_ball.name,合成后的篮球
achievement.first_time_paired_ball.desc,第一次解锁合成后的篮球\\n获得成就奖励1000金币
achievement.first_time_paired_bomb.name,合成后的炸弹
achievement.first_time_paired_bomb.desc,第一次解锁合成后的炸弹\\n获得成就奖励1000金币
achievement.first_time_paired_sword.name,合成后的剑
achievement.first_time_paired_sword.desc,第一次解锁合成后的剑\\n获得成就奖励1000金币
achievement.first_time_paired_knife.name,合成后的飞刀
achievement.first_time_paired_knife.desc,第一次解锁合成后的飞刀\\n获得成就奖励1000金币
achievement.first_time_paired_circle.name,合成后的守卫剑
achievement.first_time_paired_circle.desc,第一次解锁合成后的守卫剑\\n获得成就奖励1000金币
achievement.all_ability_upgrade.name,全部能力升级
achievement.all_ability_upgrade.desc,全部能力升级完成\\n获得成就奖励1000金币
