key,value
ui.settings.language,語言
ui.settings.fullscreen,全螢幕
ui.settings.windowed,視窗化
ui.settings.screen_mode,視窗化/全螢幕
ui.settings.resolution,解析度
ui.settings.auto_detect,自動偵測
ui.settings.loot_guide,道具引導
ui.settings.title,設定
ui.settings.back,返回
ui.settings.music,音樂
ui.settings.sfx,音效
ui.settings.music_volume,音樂音量
ui.settings.sound_volume,音效音量
ui.settings.return_main_menu,主選單
ui.settings.quit,退出
ui.settings.lang_en,English
ui.settings.lang_zh,中文
ui.settings.lang_zh_hans,简体中文
ui.settings.lang_zh_hant,繁體中文
ui.settings.lang_ja,日本語
ui.settings.lang_ko,한국어
ui.start.start_game,開始遊戲
ui.start.settings,設定
ui.start.achievement,成就
ui.start.coin_upgrade,金幣升級
ui.achievement.completed,【已完成】
ui.achievement.unlocked_title,<b>成就{0} 達成!</b>
ui.gameover.title,遊戲結束
ui.gamepass.title,遊戲通關
achievement.3_minutes.name,堅持3分鐘
achievement.3_minutes.desc,堅持3分鐘\\n獲得成就獎勵1000金幣
achievement.5_minutes.name,堅持5分鐘
achievement.5_minutes.desc,堅持5分鐘\\n獲得成就獎勵1000金幣
achievement.10_minutes.name,堅持10分鐘
achievement.10_minutes.desc,堅持10分鐘\\n獲得成就獎勵1000金幣
achievement.20_minutes.name,堅持20分鐘
achievement.20_minutes.desc,堅持20分鐘\\n獲得成就獎勵1000金幣
achievement.lv30.name,30級
achievement.lv30.desc,第一次升級到30級\\n獲得成就獎勵1000金幣
achievement.lv50.name,50級
achievement.lv50.desc,第一次升級到50級\\n獲得成就獎勵1000金幣
achievement.first_time_paired_ball.name,合成後的籃球
achievement.first_time_paired_ball.desc,第一次解鎖合成後的籃球\\n獲得成就獎勵1000金幣
achievement.first_time_paired_bomb.name,合成後的炸彈
achievement.first_time_paired_bomb.desc,第一次解鎖合成後的炸彈\\n獲得成就獎勵1000金幣
achievement.first_time_paired_sword.name,合成後的劍
achievement.first_time_paired_sword.desc,第一次解鎖合成後的劍\\n獲得成就獎勵1000金幣
achievement.first_time_paired_knife.name,合成後的飛刀
achievement.first_time_paired_knife.desc,第一次解鎖合成後的飛刀\\n獲得成就獎勵1000金幣
achievement.first_time_paired_circle.name,合成後的守衛劍
achievement.first_time_paired_circle.desc,第一次解鎖合成後的守衛劍\\n獲得成就獎勵1000金幣
achievement.all_ability_upgrade.name,全部能力升級
achievement.all_ability_upgrade.desc,全部能力升級完成\\n獲得成就獎勵1000金幣
