key,value
exp_upgrade.ui.paired_weapon,ペア武器：{0}
coin_upgrade.ui.item_price,{0} (価格:{1}コイン)
coin_upgrade.ui.close,閉じる
coin_upgrade.coin_percent_Lv1.desc,コインドロップ率アップ Lv1
coin_upgrade.coin_percent_Lv2.desc,コインドロップ率アップ Lv2
coin_upgrade.coin_percent_Lv3.desc,コインドロップ率アップ Lv3
coin_upgrade.coin_percent_Lv4.desc,コインドロップ率アップ Lv4
coin_upgrade.exp_percent.desc,経験値ドロップ率アップ
coin_upgrade.player_max_hp.desc,最大HP+1
coin_upgrade.player_max_hp1.desc,最大HP+1
coin_upgrade.player_max_hp2.desc,最大HP+1
coin_upgrade.player_max_hp3.desc,最大HP+1
coin_upgrade.player_max_hp4.desc,最大HP+1
coin_upgrade.player_max_hp5.desc,最大HP+1
coin_upgrade.player_max_hp6.desc,最大HP+1
coin_upgrade.player_max_hp7.desc,最大HP+1
coin_upgrade.player_max_hp8.desc,最大HP+1
coin_upgrade.player_max_hp9.desc,最大HP+1
exp_upgrade.simple_sword.name,剣
exp_upgrade.simple_sword.paired_name,合成剣
exp_upgrade.simple_sword.paired_desc,攻撃力2倍 攻撃距離2倍
exp_upgrade.simple_sword.lv1,剣Lv1:身近の敵を攻撃
exp_upgrade.simple_sword.lv2,剣Lv2：\\n攻撃力+3 数量+2
exp_upgrade.simple_sword.lv3,剣Lv3：\\n攻撃力+2 間隔-0.25s
exp_upgrade.simple_sword.lv4,剣Lv4：\\n攻撃力+3 間隔-0.25s
exp_upgrade.simple_sword.lv5,剣Lv5：\\n攻撃力+4 間隔-0.25s
exp_upgrade.simple_sword.lv6,剣Lv6：\\n範囲+1 間隔-0.25s
exp_upgrade.simple_sword.lv7,剣Lv7：\\n攻撃力+3 数量+2
exp_upgrade.simple_sword.lv8,剣Lv8：\\n攻撃力+2 範囲+1
exp_upgrade.simple_sword.lv9,剣Lv9：\\n攻撃力+5 間隔-0.25s
exp_upgrade.simple_sword.lv10,剣Lv10：\\n攻撃力+3 数量+2
exp_upgrade.rotate_sword.name,ガード剣
exp_upgrade.rotate_sword.paired_name,合成ガード剣
exp_upgrade.rotate_sword.paired_desc,攻撃力2倍 回転速度2倍
exp_upgrade.rotate_sword.lv1,ガード剣Lv1:\\n主人公の周りを回る剣
exp_upgrade.rotate_sword.lv2,ガード剣Lv2：\\n数量+1 攻撃力+2
exp_upgrade.rotate_sword.lv3,ガード剣Lv3：\\n攻撃力+2 速度+25%
exp_upgrade.rotate_sword.lv4,ガード剣Lv4：\\n速度+50%
exp_upgrade.rotate_sword.lv5,ガード剣Lv5：\\n数量+1 攻撃力+1
exp_upgrade.rotate_sword.lv6,ガード剣Lv6：\\n攻撃力+2 速度+25%
exp_upgrade.rotate_sword.lv7,ガード剣Lv7：\\n数量+1 攻撃力+1
exp_upgrade.rotate_sword.lv8,ガード剣Lv8：\\n攻撃力+2 速度+25%
exp_upgrade.rotate_sword.lv9,ガード剣Lv9：\\n数量+1 攻撃力+1
exp_upgrade.rotate_sword.lv10,ガード剣Lv10：\\n攻撃力+2 速度+25%
exp_upgrade.simple_bomb.name,爆弾
exp_upgrade.simple_bomb.paired_name,合成爆弾
exp_upgrade.simple_bomb.paired_desc,15秒ごとに爆発
