ChannelName,Active,EnemyPrefabName,Phase,StartTimeSec,EndTimeSec,SpawnIntervalSec,SpawnCount,HPScale,SpeedScale,DamageScale,BaseSpeed,IsTreasureChest,ExpDropRate,CoinDropRate,HpDropRate,BombDropRate,SpawnPattern,BurstCount,SpawnRadius
幽灵-背景,TRUE,Enemy_Ghost,small,0,1800,2.2,0,0.8,0.9,1.0,1.8,FALSE,0.55,0.20,0.08,0.03
幽灵-开场,TRUE,Enemy_Ghost,small,0,180,1.0,0,1.0,1.0,1.0,1.9,FALSE,0.50,0.22,0.08,0.03
蝙蝠-侦察,TRUE,Enemy_Bat,small,90,300,1.2,0,0.9,1.15,1.0,2.3,FALSE,0.48,0.22,0.06,0.03
方块-登场,TRUE,Enemy_Block_Yellow,small,150,420,1.1,0,0.55,0.95,1.0,1.8,FALSE,0.45,0.25,0.08,0.04
幽灵-密集,TRUE,Enemy_Ghost,small,180,480,0.75,0,1.1,1.0,1.0,2.0,FALSE,0.48,0.23,0.08,0.03
蝙蝠-群袭1,TRUE,Enemy_Bat,small,240,600,0.8,0,1.0,1.15,1.0,2.3,FALSE,0.45,0.24,0.06,0.03
独眼-初见,TRUE,Enemy_Cyclops,small,300,720,1.0,0,1.4,0.9,1.05,1.8,FALSE,0.50,0.30,0.07,0.05
盗贼-初见,TRUE,Enemy_Rouge,small,420,780,0.95,0,1.2,1.15,1.05,2.3,FALSE,0.42,0.34,0.06,0.04
方块-密集,TRUE,Enemy_Block_Yellow,small,480,960,0.65,0,1.5,1.0,1.1,2.0,FALSE,0.43,0.28,0.08,0.04
蜘蛛-登场,TRUE,Enemy_Spider,small,540,1080,0.9,0,1.6,0.95,1.1,1.8,FALSE,0.58,0.20,0.08,0.05
蝙蝠-群袭2,TRUE,Enemy_Bat,small,600,1080,0.55,0,1.2,1.18,1.1,2.4,FALSE,0.44,0.25,0.06,0.03
盗贼-密集,TRUE,Enemy_Rouge,small,720,1200,0.75,0,1.5,1.15,1.15,2.4,FALSE,0.40,0.36,0.06,0.04
独眼-重装,TRUE,Enemy_Cyclops,small,780,1320,0.7,0,1.8,1.0,1.15,2.0,FALSE,0.48,0.32,0.07,0.05
幽灵-中后期,TRUE,Enemy_Ghost,small,900,1500,0.6,0,1.5,1.05,1.2,2.0,FALSE,0.50,0.24,0.08,0.04
方块-中后期,TRUE,Enemy_Block_Yellow,small,960,1560,0.5,0,1.9,1.05,1.2,2.1,FALSE,0.42,0.30,0.08,0.04
蜘蛛-密集,TRUE,Enemy_Spider,small,1080,1620,0.65,0,2.0,1.05,1.2,2.0,FALSE,0.55,0.22,0.08,0.05
盗贼-精英,TRUE,Enemy_Rouge,small,1200,1680,0.55,0,2.1,1.15,1.25,2.5,FALSE,0.38,0.38,0.06,0.04
独眼-终局,TRUE,Enemy_Cyclops,small,1320,1800,0.45,0,2.4,1.10,1.3,2.2,FALSE,0.45,0.34,0.07,0.05
蝙蝠-终局,TRUE,Enemy_Bat,small,1380,1800,0.4,0,1.7,1.25,1.25,2.7,FALSE,0.42,0.30,0.06,0.03
方块-终局,TRUE,Enemy_Block_Yellow,small,1500,1800,0.38,0,2.5,1.12,1.3,2.3,FALSE,0.40,0.32,0.08,0.04
幽灵-终局,TRUE,Enemy_Ghost,small,1620,1800,0.32,0,2.0,1.12,1.3,2.2,FALSE,0.45,0.28,0.08,0.04
终局-超压,TRUE,Enemy_Cyclops,small,1740,1800,0.25,0,2.8,1.15,1.35,2.4,FALSE,0.42,0.35,0.08,0.05
幽灵Boss-5分,TRUE,Enemy_Ghost_Boss,boss,300,318,3.0,1,1.2,0.9,1.2,1.1,TRUE,0,0,0,0
方块Boss-10分,TRUE,Enemy_Block_Yellow_Boss,boss,600,620,3.0,1,1.35,0.85,1.35,1.0,TRUE,0,0,0,0
螃蟹Boss-15分双生,TRUE,Enemy_Crab_Boss,boss,900,930,6.0,2,1.5,0.8,1.55,0.95,TRUE,0,0,0,0
蝙蝠Boss-18分,TRUE,Enemy_Bat_Boss,boss,1080,1110,4.0,1,1.7,0.95,1.6,1.1,TRUE,0,0,0,0
兽人Boss-21分,TRUE,Enemy_Orc_Boss,boss,1260,1300,4.0,1,1.9,0.8,1.9,0.95,TRUE,0,0,0,0
螃蟹Boss-25分双生,TRUE,Enemy_Crab_Boss,boss,1500,1540,8.0,2,2.0,0.75,2.1,0.9,TRUE,0,0,0,0
龟Boss-28分,TRUE,Enemy_Turtle_Boss,boss,1680,1750,5.0,1,2.3,0.7,2.3,0.8,TRUE,0,0,0,0
幽灵-集群-7分,TRUE,Enemy_Ghost,small,420,450,1.0,0,0.9,1.15,0.9,2.0,FALSE,0.50,0.20,0.06,0.03,swarm,5,9
蝙蝠-风暴-12分,TRUE,Enemy_Bat,small,720,750,1.0,0,1.0,1.25,1.0,2.6,FALSE,0.42,0.25,0.05,0.03,edge,8,12
方块-围墙-16分,TRUE,Enemy_Block_Yellow,small,960,970,5.0,2,1.8,0.95,1.15,1.9,FALSE,0.42,0.28,0.08,0.04,ring,20,14
精英冲锋-22分-独眼,TRUE,Enemy_Cyclops,small,1320,1350,3.0,3,2.2,1.08,1.25,2.25,FALSE,0.45,0.32,0.06,0.05,swarm,10,10
精英冲锋-22分-盗贼,TRUE,Enemy_Rouge,small,1320,1350,3.0,3,2.0,1.2,1.2,2.55,FALSE,0.38,0.36,0.05,0.04,swarm,10,10
终局预演-27分-幽灵,TRUE,Enemy_Ghost,small,1620,1650,0.9,0,2.2,1.18,1.28,2.3,FALSE,0.45,0.26,0.08,0.04,edge,6,12
终局预演-27分-蝙蝠,TRUE,Enemy_Bat,small,1620,1650,0.9,0,2.0,1.28,1.25,2.75,FALSE,0.42,0.30,0.06,0.03,edge,8,12
终局预演-27分-独眼,TRUE,Enemy_Cyclops,small,1620,1650,1.2,0,2.5,1.12,1.35,2.3,FALSE,0.44,0.34,0.07,0.05,swarm,6,11
