key,value
ability.simple_sword.name,剑
ability.simple_sword.desc,向最近的敌人挥剑
ability.simple_knife.name,飞刀
ability.simple_knife.desc,向最近的敌人发射飞刀
ability.rotate_sword.name,守卫剑
ability.rotate_sword.desc,环绕角色旋转的剑
ability.basket_ball.name,篮球
ability.basket_ball.desc,弹射攻击敌人的篮球
ability.bomb.name,炸弹
ability.bomb.desc,爆炸伤害周围敌人
ability.simple_axe.name,铜剑
ability.simple_axe.desc,向上抛出剑体并沿抛物线落下
ability.magic_wand.name,魔杖
ability.magic_wand.desc,自动向最近敌人发射魔弹
ability.simple_bow.name,弓箭
ability.simple_bow.desc,向最近敌人射出高速穿透箭矢
